State,Party affiliation
Adams,Republican
Allen,Republican
Ashland,Republican
Ashtabula,Republican
Athens,Democrat
Auglaize,Republican
Belmont,Republican
Brown,Republican
Butler,Republican
Carroll,Republican
Champaign,Republican
Clark,Republican
Clermont,Republican
Clinton,Republican
Columbiana,Republican
Coshocton,Republican
Crawford,Republican
Cuyahoga,Democrat
Darke,Republican
Defiance,Republican
Delaware,Republican
Erie,Republican
Fairfield,Republican
Fayette,Republican
Franklin,Democrat
Fulton,Republican
Gallia,Republican
Geauga,Republican
Greene,Republican
Guernsey,Republican
Hamilton,Democrat
Hancock,Republican
Hardin,Republican
Harrison,Republican
Henry,Republican
Highland,Republican
Hocking,Republican
Holmes,Republican
Huron,Republican
Jackson,Republican
Jefferson,Republican
Knox,Republican
Lake,Republican
Lawrence,Republican
Licking,Republican
Logan,Republican
Lorain,Democrat
Lucas,Democrat
Madison,Republican
Mahoning,Democrat
Marion,Republican
Medina,Republican
Meigs,Republican
Mercer,Republican
Miami,Republican
Monroe,Republican
Montgomery,Democrat
Morgan,Republican
Morrow,Republican
Muskingum,Republican
Noble,Republican
Ottawa,Republican
Paulding,Republican
Perry,Republican
Pickaway,Republican
Pike,Republican
Portage,Republican
Preble,Republican
Putnam,Republican
Richland,Republican
Ross,Republican
Sandusky,Republican
Scioto,Republican
Seneca,Republican
Shelby,Republican
Stark,Republican
Summit,Democrat
Trumbull,Republican
Tuscarawas,Republican
Union,Republican
Van Wert,Republican
Vinton,Republican
Warren,Republican
Washington,Republican
Wayne,Republican
Williams,Republican
Wood,Republican
Wyandot,Republican
,
,